subjid,isExcluded_Rp,isExcluded_Ts,AN_val_meanRT_Rp,AN_inval_meanRT_Rp,AN_val_sdRT_Rp,AN_inval_sdRT_Rp,AN_val_nErrorTrials_Rp,AN_inval_nErrorTrials_Rp,AN_val_nFpTrials_Rp,AN_inval_nFpTrials_Rp,AN_val_nOl1Trials_Rp,AN_inval_nOl1Trials_Rp,AN_val_nOl2Trials_Rp,AN_inval_nOl2Trials_Rp,AN_val_nOmissionTrials_Rp,AN_inval_nOmissionTrials_Rp,AN_val_nHitTrials_Rp,AN_inval_nHitTrials_Rp,AN_val_nCleanTrials_Rp,AN_inval_nCleanTrials_Rp,AN_val_MeanMaxAmp_Rp,AN_inval_MeanMaxAmp_Rp,AN_val_SdMaxAmp_Rp,AN_inval_SdMaxAmp_Rp,HA_val_meanRT_Rp,HA_inval_meanRT_Rp,HA_val_sdRT_Rp,HA_inval_sdRT_Rp,HA_val_nErrorTrials_Rp,HA_inval_nErrorTrials_Rp,HA_val_nFpTrials_Rp,HA_inval_nFpTrials_Rp,HA_val_nOl1Trials_Rp,HA_inval_nOl1Trials_Rp,HA_val_nOl2Trials_Rp,HA_inval_nOl2Trials_Rp,HA_val_nOmissionTrials_Rp,HA_inval_nOmissionTrials_Rp,HA_val_nHitTrials_Rp,HA_inval_nHitTrials_Rp,HA_val_nCleanTrials_Rp,HA_inval_nCleanTrials_Rp,HA_val_MeanMaxAmp_Rp,HA_inval_MeanMaxAmp_Rp,HA_val_SdMaxAmp_Rp,HA_inval_SdMaxAmp_Rp,nRpTrials
VP21,no,no,0.79455,0.82629,0.1452,0.12035,6,3,0,0,3,0,2,1,0,0,74,17,74,17,5300.5773,5273.8284,1167.1752,1319.5218,0.23667,0.32396,0.28393,0.32237,12,5,0,0,2,0,0,0,0,0,68,15,68,15,86.5719,82.6804,31.3873,30.3964,200
VP22,no,no,0.71317,0.85365,0.34087,0.35902,10,4,0,1,2,1,4,0,0,0,70,15,70,16,3520.5116,3544.2174,1151.1133,1212.8704,0.20709,0.46415,0.23766,0.37729,9,3,0,0,1,0,0,0,0,0,71,17,71,17,70.3365,74.4417,22.5467,25.3735,200
VP23,no,no,0.58236,0.63281,0.28673,0.28923,1,1,7,0,1,1,0,1,0,0,72,19,79,19,1376.9774,1487.138,847.3629,708.2033,0.2059,0.19705,0.22726,0.21073,4,2,0,0,2,0,0,0,0,0,76,18,76,18,67.1017,74.7637,27.6687,27.6713,200
VP24,no,no,0.76025,0.83086,0.18832,0.26485,1,0,2,0,1,1,1,0,0,0,77,20,79,20,1944.8043,2166.8764,459.3998,338.5594,0.62629,1.0243,0.22927,0.41057,0,0,1,1,4,1,3,0,0,0,79,19,80,20,290.3592,272.9798,157.2866,196.537,200
VP25,no,no,0.63369,0.68316,0.28431,0.34612,9,1,0,1,2,1,3,0,0,0,71,18,71,19,1021.6583,1013.0613,493.036,570.1073,0.22276,0.32525,0.17969,0.21754,8,1,0,0,1,0,0,0,0,0,72,19,72,19,113.0848,117.0129,49.2362,48.2177,200
VP26,no,no,0.68849,0.875,0.16836,0.15106,9,1,0,0,0,2,2,0,0,0,71,19,71,19,4128.4589,4207.2897,1184.9637,932.9381,0.26194,0.30252,0.29178,0.3219,6,2,0,0,4,0,0,0,2,0,72,18,74,18,96.8624,105.476,51.0019,44.3876,200
VP27,no,no,0.49479,0.74383,0.21833,0.34207,7,1,1,0,3,1,1,0,0,0,72,19,73,19,2294.9816,2043.2961,656.7846,630.0222,0.22656,0.20313,0.27071,0.30905,8,1,0,0,4,2,0,0,0,0,72,19,72,19,55.9013,57.9721,20.9535,23.9176,200
VP28,no,no,0.72507,0.95378,0.36863,0.40523,2,2,27,6,2,1,0,0,4,0,47,12,78,18,5945.4542,4706.9746,5020.0349,5315.4338,0.40471,0.56033,0.34944,0.57111,4,2,0,0,2,1,0,0,0,0,76,18,76,18,91.9266,89.2724,27.7346,31.7412,200
VP29,no,no,0.65637,0.84492,0.31777,0.31107,12,0,2,0,4,1,0,0,0,0,66,20,68,20,1188.5511,991.365,592.3385,472.7457,0.21793,0.47985,0.25367,0.4827,4,1,0,0,2,1,0,0,0,0,76,19,76,19,64.4507,62.716,23.2687,18.5175,200
VP30,no,no,0.71332,0.69271,0.23981,0.1771,11,2,0,0,3,0,0,0,0,0,69,18,69,18,3179.4404,3463.7832,1240.0545,1427.6233,0.16628,0.15937,0.206,0.25029,13,0,0,0,1,2,0,0,0,0,67,20,67,20,53.3886,59.1855,20.5022,23.5348,200
VP31,no,no,0.65895,0.83398,0.20617,0.20842,2,0,0,0,2,1,3,0,0,0,78,20,78,20,761.0611,744.6288,253.8776,187.22,0.18783,0.45772,0.21473,0.38981,8,3,0,0,2,0,0,0,0,0,72,17,72,17,61.9913,57.5374,29.3357,21.6301,200
